厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
长城汽车,哈弗猛龙,2023款,1.5T Hi4 145 探索版,18.38,探境臻选包,后桥电控式差速锁+露营灯、方向盘加热、行车记录仪、HUD抬头数字显示、后排遮阳帘、主驾驶座椅8向调节+记忆+前排座椅通风、10扬声器+独立功放、单色氛围灯、外后视镜记忆+倒车自动下翻、自动防眩目内后视镜、AQS空气质量管理系统+等离子发生器 ○选配10000元
比亚迪,海鸥,2024款,荣耀版 405KM 飞翔版,8.58,安心包,自适应巡航控制、自动紧急制动、车道偏离预警、交通标志识别、智能限速报警、前向碰撞预警、智能远近光灯辅助 ○选配3000元
奇瑞汽车,捷途山海T1,2024款,1.5TD 向湖,16.68,私享套装,前风挡静音玻璃/后门双层静音玻璃/后排隐私玻璃/静音轮胎 ○选配3000元
岚图汽车,岚图梦想家 PHEV,2025款,四驱卓越鲲鹏版,32.99,华为乾崑智驾ADS 3.0高阶功能包,○选配暂无价格
长城汽车,蓝山,2023款,两驱长续航版,27.38,关爱进阶包,包含:三排座椅3挡加热、多功能小桌板(左侧)、电动侧踏 ○选配暂无价格
一汽丰田,一汽丰田bZ4X,2022款,长续航JOY版,22.98,智能导航套装,"泊车辅助制动功能（可感知静止物）,12.3英寸多媒体导航系统,人脸识别,PVM全景监控系统 ○选配11000元"
上汽大众,朗逸,2024款,300TSI DSG星空满逸版,13.89,酷黑运动套件选装包,高光黑质感车顶 & 17吋精车花式锋刃铝合金轮毂，低滚阻轮胎225/45 R17 ○选配暂无价格
华晨宝马,宝马i3,2023款,eDrive 35 L,35.39,暗色套装,"个性化定制黑色高光装饰条,个性化定制黑色高光外装组件 ○选配2000元"
上汽集团,荣威eRX5,2023款,超混尊荣版,15.99,20英寸幻影轮毂,20英寸轮毂及245/45 R20轮胎 ○选配3000元
吉利汽车,博越L,2025款,第四代 1.5TD DCT 锦绣,12.69,黑耀双色车身套件,包含车顶、行李架、外后视镜、窗框、后扰流板、侧裙装饰亮条、尾部字标等均为钢琴黑 ●标配
奇瑞汽车,瑞虎9,2026款,9X 2.0T AT前驱豪华型,14.79,四驱选装包,四驱+IPB+DP-EPS+20吋轮毂+ENC主动降噪+四音区+前雷达+BSD ○选配15000元
北汽新能源,极狐 阿尔法S,2023款,先行版,32.98,NCA城区智驾导航辅助,○选配暂无价格
北京奔驰,奔驰E级,2026款,E 260 L 经典版,42.99,畅心醒神功能（1年498元/3年1298元/永久2298元）,○选配暂无价格
北京奔驰,奔驰EQE,2022款,EQE 350 先锋版,47.8,驾驶辅助组件增强版,○选配9500元
蔚来,蔚来ET7,2024款,100kWh 行政版,48.6,长航电池包（100kWh）,月租金1128元。 ○选配暂无价格
领克,领克03,2026款,03+ 2.0TD TCR版,42.03,碳纤维空力套件Ⅲ,碳纤维双风道机盖、碳纤维车顶 ○选配40000元
上汽大众,ID.4 X,2025款,聪明款 纯净智享版,15.9888,质享舒适包,无论前排后排，都能尊享舒适越级。主副驾座椅均配备通风、按摩、电动调节功能，让驾乘体验更享愉悦舒心；主驾座椅位置记忆功能，在驾驶者上下车时可自动调节座椅前后位置、高度及角度，有效增加驾驶舒适性与安全性。 ○选配4000元
长安汽车,长安欧尚Z6 iDD新能源,2023款,智电iDD 150KM旗舰PLUS智慧泊车版,17.58,品牌轮胎包,○选配暂无价格
北京奔驰,奔驰C级,2026款,C 260 L 皓夜运动轿车,38.41,夜色组件,夜色组件 ●标配
领克,领克03,2026款,1.5TD DCT Halo,13.68,科技升级包,千里浩瀚H3+AR-HUD ○选配8000元
上汽通用凯迪拉克,凯迪拉克CT5,2025款,28T 赛道性能版,32.09,黑标性能套件,黑曜徽标、黑曜格栅、黑曜尾标、黑曜后视镜、V导流尾翼、黑曜侧裙及车窗饰条、运动尾唇 ●标配
上汽通用凯迪拉克,凯迪拉克CT5,2025款,28T 赛道性能版,32.09,飓风哑光灰+V专属红色性能选装包,飓风哑光灰、专属Brembo V标涂装 红色高性能卡钳、赛道专属红色钥匙 ○选配8000元
上汽通用凯迪拉克,凯迪拉克CT5,2025款,28T 赛道性能版,32.09,巅峰赛道选装包,内饰色彩：琴键、檀黑、19英寸曜石铝合金轮毂、米其林PS4S轮胎、BREMBO四活塞卡钳V运动定制外观、发光迎宾门踏板、全彩HUD飞航显示仪、方向盘四向电动调节、副驾驶座椅8向电动调节、前排座椅按摩功能、前排运动型座椅带电动侧向支撑调节、前排腿托调节 ○选配25000元
小鹏汽车,小鹏P7,2023款,P7i 610 鹏翼性能版,33.99,电动开闭前鹏翼门,●标配
上汽大众,帕萨特PHEV,2023款,430PHEV 混动精英版,23.315,全旅程智能驾驶辅助系统,"全旅程智能驾驶辅助系统,车道保持系统,NAPPA真皮多功能方向盘(带脱手监测) ○选配1800元"
合众汽车,哪吒U,2022款,U-Ⅱ 610,16.58,尊驾包,地平线征程3高性能车规级AI芯片、5个毫米波雷达、12个超声波雷达、1个200万像素高感知摄像头、4个环视摄像头、ACC全速段自适应巡航、FCW前碰预警、AEB自动紧急制动、LDW车道偏离预警、LKA车道保持辅助、LCC车道居中保持、TJA交通拥堵辅助、ICA高速巡航辅助、HWA高速变道辅助、LCA并线辅助、FCTA前向目标横穿警告、RCTA后向目标横穿警告、DOW开门预警、RCW后碰撞预警、HBA智能远光灯辅助、辅助驾驶模拟显示、FAPA全自动泊车辅助、一键式遥控泊车、360度高清全景影像、透明底盘、MOD低速动态物体识别、原路返回辅助、19英寸追风炫酷铝轮毂（配225/55 R19轮胎）、8个扬声器、人脸识别主驾智能座椅（含迎宾模式和小憩模式）、手机无线充电、PM2.5空气净化系统、座舱负离子发生器、无极变色车内氛围灯、主驾脚部照明灯、前排阅读灯触摸控制、疲劳驾驶监测系统、侧气帘、前排及后排左侧预紧限力式安全带 ○选配12800元
华晨宝马,宝马X1,2025款,sDrive25Li M运动套装,25.8,M运动版套装Pro,M运动型多功能真皮方向盘、M运动套装、个性化定制黑色高光外装组件、个性化定制黑色高光装饰条、个性化定制黑色高光铝制车顶行李架 ○选配2000元
一汽-大众,ID.7 VIZZION,2024款,PRO版,23.7777,CO2热泵空调系统,"CO2热泵空调系统,可加热前风挡,可加热前风挡清洗喷嘴 ○选配9000元"
东风日产,天籁,2025款,2.0L XL-TLS 悦享版,18.88,座椅暖心包,前排座椅加热、通风 ○选配2400元
吉利汽车,帝豪,2026款,第5代 1.5T DCT旗舰型,9.19,向上科技包,HNOA高快速路辅助驾驶CNOA城区辅助驾驶CMSF前碰撞减缓FCTA前方穿行预警FCTB前方横向碰撞制动MAI误加速抑制辅助AES主动紧急避让EMA紧急转向辅助BSD盲点监测DOW开门预警LCA变道辅助ALCA拨杆变道辅助RCW后方碰撞预警CMSR后方碰撞减缓RCTA倒车车侧预警RCTB后方横向碰撞制动PEB泊车制动辅助APA自动泊车辅助RPA遥控泊车辅助HPA记忆泊车辅助FTP指尖泊车辅助TLA交通灯识别DMS驾驶员状态监测辅助驾驶小蓝灯 ○选配6000元
北汽新能源,极狐 阿尔法S,2023款,先行版,32.98,ICA城区智能巡航辅助,○选配暂无价格
北汽新能源,极狐 阿尔法S,2023款,森林版PRO 650E 175kW,22.78,选装包六,"电子按键式开闭车门(四门),智能感应电动门(四门),车门舞动,电动充电口盖,电动充电口盖感应开启,方向盘电动调节(带记忆,迎宾) ○选配15000元"
吉利银河,银河L6,2023款,1.5T DHT 125km MAX,14.28,臻享套装,全景天幕（含遮阳帘）+香氛系统+行车记录仪 ○选配暂无价格
吉利汽车,博越L,2024款,2.0TD DCT智驾版,14.97,高阶智驾硬件平台,800万像素前视摄像头×1300万像素环视摄像头×4250万像素后视摄像头×1超长距离毫米波雷达×1长距离毫米波雷达×4超声波雷达×125G高速通信模块 ●标配
吉利汽车,博越L,2024款,2.0TD DCT智驾版,14.97,增强智驾辅助系统,ALCA自动变道、大型车辆智慧避让、BSD盲点监测、DOW开门预警系统、TLA交通灯提醒、CMSR后碰撞预警、RCTA后方交叉紧急报警、FCTA前方交叉紧急报警、EMA紧急转向避撞辅助、APA自动泊车辅助、RPA遥控泊车辅助等主动安全功能(附赠手机智能蓝牙钥匙) ●标配
吉利汽车,博越L,2024款,1.5TD DCT旗舰版,13.57,双色黑耀套装,黑晶双色车身套件(包含车顶、行李架、外后视镜、窗框、后扰流板、前后保装饰条、侧裙装饰亮条、尾部字标等均为钢琴黑）、20吋轮毂、佳通轮胎 ○选配3000元
吉利汽车,博越L,2024款,1.5TD DCT尊贵版,12.57,双色流光音响套装,LED粒子射线灯组、发光LOGO、黑晶双色车身套件(包含车顶、行李架、外后视镜、窗框、后扰流板、前后保装饰条、侧裙装饰亮条、尾部字标等均为钢琴黑)、哈曼Infinity音响(含头枕音响，全车11个扬声器)、4音区智能语音交互系统 ○选配5000元
理想汽车,理想L6,2024款,Pro版,24.98,铂金音响系统,○选配10000元
一汽丰田,一汽丰田bZ4X,2022款,长续航JOY版,22.98,真皮舒适套装,"真皮方向盘带加热,前排、后排座椅加热,雅致灰真皮电动座椅 ○选配10000元"
上汽大众,途岳,2024款,300TSI 两驱满月版,18.16,酷月黑套装,个性酷黑套件 ○选配2000元
奇瑞新能源,iCAR 03,2024款,四驱 长续航进阶版,15.98,领潮选装包,主驾座椅通风+按摩、主驾座椅4向腰托、副驾座椅腿托、空气净化系统、防晒隔热前风挡 ○选配3000元
smart,smart精灵#3,2024款,型动四驱版,21.99,密友超拉风套装,Beats品牌音响/13扬声器系统/64色氛围灯-高配/赛博光影贯穿式LED矩阵大灯（可实现大灯高度自动调节、自适应远近光）/smart灯光秀（包含流光粒子格栅、流水转向灯、贯穿式前位置灯和贯穿式尾灯动态灯效） ○选配12000元
长城汽车,高山,2023款,四驱旗舰版,37.58,尊享航空座椅套装一,二排航空座椅+二排电动Easy Entry绑定选装 ○选配25000元
长城汽车,坦克300,2025款,2.4T 柴油版,23.48,硅油风扇,硅油风扇 ○选配5000元
吉利银河,银河L6,2023款,1.5T DHT 125km 星舰,14.98,臻AI套装,18英寸铝合金轮毂+百灵鸟音乐灯光秀 ○选配暂无价格
smart,smart精灵#3,2024款,25周年星空纪念版,24.99,锐熠星光天幕,●标配
上汽集团,MG7,2025款,1.5T DCT优雅版,13.79,纵擎翼动包,自适应三段式电动尾翼（带迎宾功能） ○选配5000元
吉利银河,银河L6,2023款,1.5T DHT 60km PLUS,12.28,智行套装,17英寸铝合金轮毂+行车记录仪 ○选配暂无价格
北汽新能源,极狐 阿尔法S,2023款,先行版,32.98,ADS高阶包,"城区LCC车道巡航(自主巡航,自主跟车,拨杆换道,并道分道,汇入汇出,大车风险偏移避让,标准路口直行),城区NCA智驾领航(城区LCC车道巡航,智能限速,导航换道,超车换道,汇入汇出,标准路口通行) ○选配36000元"
奇瑞新能源,iCAR 03,2024款,两驱 长续航版,12.98,智潮选装包,行车记录仪、8155芯片、全液晶仪表、四音区、L2级辅助驾驶(已停售) ○选配6000元
长城汽车,高山,2023款,四驱行政加长版,40.58,尊享航空座椅套装二,二排航空座椅+二排电动Easy Entry+三排座椅2向电动腿托+阅读灯（方向、亮度可调）绑定选装 ○选配暂无价格
智己汽车,智己LS6,2023款,Max 超强性能版,29.19,ISC流光叠影交互尾灯,○选配8800元
奇瑞汽车,捷途旅行者,2026款,2.0TD XWD穿越,16.99,全能包,黑色机织磨毛顶棚+主副驾靠背磁吸接口+副驾座椅小桌板+255/55 R20 HT胎+全尺寸备胎+牵引拖车钩+拖挂模式 ○选配5000元
广汽丰田,赛那,2026款,双擎 2.5L 豪华福祉版,36.48,福祉座椅,●标配
沃尔沃亚太,沃尔沃S60 PHEV,2024款,T8  E驱混动 长续航四驱智逸豪华版,39.99,冬季选装包1,前排座椅加热、后排座椅加热、前风挡玻璃清洗喷嘴加热、方向盘加热 ○选配3000元
沃尔沃亚太,沃尔沃EM90,2025款,Ultra 六座,81.8,浅色羊毛混纺座椅,"选装浅色羊毛混纺座椅时,座椅通风将""不配备"" ○选配暂无价格"
smart,smart精灵#1,2024款,铂金版,23.99,高阶智驾新装备,2个Mobileye EyeQ5H 7nm高性能智能驾驶芯片，7个800万像素高清摄像头，4个环视摄像头，1个座舱摄像头，1个长距毫米波雷达，1个行车记录仪摄像头，12个超声波雷达，电容式方向盘，可实现智能领航辅助NSP，高速领航辅助HWP，25项智能辅助驾驶功能。拥有5G网络，16GB车机内存。 ○选配25000元
smart,smart精灵#1,2024款,灵动豪华版,19.99,密友氛围豪华套装,Beats品牌音响/13扬声器系统/64色双区氛围灯-高配6/赛博光影贯穿式LED矩阵大灯（可实现大灯高度自动调节、自适应远近光7）/smart5灯光秀(包含流光粒子格栅、流水转向灯、贯穿式前位置灯和贯穿式尾灯动态灯效）/SiC永磁同步后电驱 ○选配暂无价格
智己汽车,智己LS6,2026款,纯电 Pro,21.29,IMAD视觉辅助驾驶全功能包,高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、信任增强(IM CE) ○选配12800元
吉利汽车,熊猫,2023款,200km 熊猫mini 小黄鸭限定版 幸运吖,5.69,小黄鸭内饰套件,小黄鸭联名内饰	小黄鸭联名仪表台	小黄鸭联名座椅	小黄鸭联名脚垫	小黄鸭联名方向盘 ●标配
一汽奥迪,奥迪Q2L e-tron,2022款,纯电智享型,24.38,外后视镜选装包,外后视镜电动调整，加热，电动折叠，左侧自动防炫目 ○选配2000元
领克,领克01 EM-P,2023款,1.5TD EM-P 晨曦版,22.38,后排正向安全气囊,○选配3000元
上汽集团,荣威iMAX8 EV,2022款,头等舱钻石版,35.98,AR-Driving实景导航系统,●标配
长城汽车,摩卡PHEV,2023款,DHT 两驱长续航版,23.18,高速NOH智驾包,包含高速NOH智慧领航辅助驾驶系统+流媒体内后视镜 ○选配17000元
长城汽车,摩卡PHEV,2024款,Hi4 长续航版,23.88,高速NOH智慧领航驾驶辅助系统,高速NOH智慧领航驾驶辅助系统（不带侧摄像头），需下订时选装 ○选配15000元
领克,领克01 EM-P,2023款,1.5TD EM-P PM,21.18,智享科技套装,全彩W-HUD抬头显示、高清行车记录仪、DMS驾驶员状态监测系统、车内娱乐摄像头、生命体遗留监测、APA自动泊车辅助系统、RPA一键遥控泊车系统（待后续OTA升级实现）、PEB泊车紧急制动系统、 前泊车雷达、香氛发生器 ○选配10000元
江汽集团,思皓爱跑,2022款,风驰电掣460,15.69,智能驾驶系统,"智能灯光辅助,限速标志识别,前碰撞预警,自动紧急制动,车道偏离辅助(仅预警),车道偏离辅助（仅纠偏),车道偏离辅助(预警+纠偏),自适应巡航,智能巡航 ○选配暂无价格"
合创汽车,合创007,2021款,PLUS版,29.98,HYCAN安全卫士,车内生命探测，车身严重碰撞报警，防盗监测报警 ○选配暂无价格
上汽通用别克,别克E4,2023款,GS长续航四驱版,22.99,超级巡航套装,全新一代Super Cruise超级辅助驾驶系统-Super Cruise全速域自适应巡航-Super Cruise车道居中保持-ILC指令变道辅助-ALC自动变道辅助-“极光守护”方向盘带驾驶员视线监测系统-5G无线网络 ○选配20000元
江汽集团,思皓爱跑,2022款,一马当先460,16.69,旋叶压风尾翼,○选配暂无价格
沃尔沃亚太,沃尔沃S60 PHEV,2024款,T8 E驱混动 长续航四驱智雅极夜黑版,46.19,冬季选装包2,后排座椅加热、前风挡玻璃清洗喷嘴加热、方向盘加热 ○选配2000元
奇瑞捷豹路虎,发现运动版PHEV,2024款,P300e 插电式电动混合版,40.98,超值升级包,高颜家庭装（耀黑运动装备）、黑色撞色车顶、20英寸5辐熏黑效果铝合金轮毂、黑色车身饰件 ○选配暂无价格
智己汽车,智己L7,2024款,MAX 长续航旗舰版,38.99,整车智能无线充电(车端）,○选配6000元
岚图汽车,岚图追光 EV,2023款,580km 标准续航版,32.29,舒享包（限时3500）,含静音轮胎、方向盘加热功能、DINAMICA顶级面料顶棚/立柱/遮阳板 ○选配12000元
广汽传祺,传祺E9 PHEV,2024款,2.0TM 科技关爱版,40.98,二排右侧可分离式电动福祉座椅（电动旋转/升降、前后/靠背电调，分离后可独立电动行驶）,●标配
岚图汽车,岚图追光 EV,2023款,730km 长续航版,38.59,AI空气投影（限免）,AI空气投影 ○选配5000元
智己汽车,智己L7,2023款,Snake Performance,57.88,Snake Performance外观性能限量套件,"专属黑色卡钳,前高亮黑铬logo及尾部字牌,运动尾翼及熏黑前后大灯保护膜,""Snake""A柱装饰条,""Snake""仪表台专属铭牌,""Snake""迎宾踏板,""Snake""前logo、轮心饰盖及为表(另赠) ●标配"
岚图汽车,岚图追光 EV,2023款,580km 标准续航版,32.29,AI空气投影（限时1500）,AI空气投影 ○选配5000元
智己汽车,智己L7,2023款,Snake Performance Lite,47.88,Snake Performance外观性能套件,"专属""W""Icon装饰元素,前高亮黑铬logo及尾部字牌,专属蓝色卡钳及A柱装饰条,运动尾翼及熏黑前后大灯保护膜 ●标配"
智己汽车,智己L7,2023款,Snake Performance,57.88,Snake Performance驾控性能特装套件Plus,"Öhlins高性能赛用级悬挂系统,LSD机械式限滑差速器,高性能制动卡钳(前6活塞/后4活塞),高性能大尺寸划线通风盘,全新20英寸细辐条轻量化锻铝轮辋套装,Endless赛道级高性能制动片,高性能半热熔轮胎,IM Motorsport & WAE联合调校,Snake赛道大师模式 ●标配"
华人运通,高合HiPhi X,2021款,豪华版 6座,62.0,科技套装,"人脸识别进入系统,PML可编程智能大灯,PML投影播放功能,防眩智能远光ADB,集束远光增强,弯道辅助照明AFS,PML大灯驾驶辅助功能(盲区变道警示,低速转向辅助,行驶轨迹预测,车道偏离提示,车辆追踪遮蔽,自适应角度调节,行人追踪提示,行人引导让行) ○选配35000元"
广汽传祺,传祺E9 PHEV,2024款,2.0TM 国宾定制版,40.98,国宾专属定制,●标配
领克,领克06 EM-P,2024款,EM-P 126长续航Pro,14.68,机能智驾选装包,撞预警系统、AEB主动式紧急刹车辅助系统(带行人识别)、LDW车道偏离警示系统、CVW车辆快速接近警示系统、BSD盲点监测系统、LCW变道警示系统、DOW开门预警系统、RCTA后方交通警示系统、RCW后方碰撞预警系统、ACCQA带排队功能的自适应巡航、LKA车道保持系统、HWA高速公路驾驶辅助系统、TJA交通拥堵辅助系统、AHB-C智能远近光控制系统、雨量感应雨刮、雨量感应天窗&车窗关闭 ○选配5000元
领克,领克06 EM-P,2024款,EM-P 126长续航Halo,15.68,灵动智享包,TBA循迹倒车辅助系统、APA自动泊车辅助系统、RPA一键遥控泊车系统 ○选配6000元
广汽埃安新能源,AION S,2023款,魅 580,14.68,IBCM无感启动,●标配
极氪,ZEEKR X,2025款,四座后驱魔方版,20.0,Hi-Light动态迎宾灯,○选配8000元
岚图汽车,岚图追光 EV,2023款,730km 长续航版,38.59,舒享包（限免）,含静音轮胎、方向盘加热功能、DINAMICA顶级面料顶棚/立柱/遮阳板 ○选配12000元
合创汽车,合创A06,2022款,630C,19.98,座椅舒适包2,前排座椅通风、主驾座椅记忆 ○选配暂无价格
智己汽车,智己L7,2023款,Snake Performance Lite,47.88,Snake Performance驾控性能特装套件,"Öhlins高性能赛用级悬挂系统,全新20英寸细辐条轻量化锻铝轮辋套装,Endless运动型高性能制动片,IM Motorsport & WAE联合调校,Snake赛道大师模式 ●标配"
奇瑞汽车,风云T10,2024款,200 四驱超长续航 旗舰型,22.99,旗舰6座选装包,二排独立座椅、第二排座椅电动四向调节、第二排座椅加热、第二排座椅通风、第二排座椅靠背八点按摩、第二排座椅记忆、第三排座椅手动调节、第三排座椅靠背5/5折叠。 ○选配10000元
合创汽车,合创007,2021款,PLUS版,29.98,云相册,可将行车记录仪、无人机、自拍摄像头的视频、图片上传至云端，通过手机APP查阅操作。 ○选配暂无价格
奇瑞汽车,风云T10,2024款,210 超长续航 奢享型,19.99,豪华6座选装包,二排独立座椅、第二排座椅电动四向调节、第二排座椅加热、第二排座椅通风、第三排座椅手动调节、第三排座椅靠背5/5折叠。 ○选配10000元
奇瑞新能源,小蚂蚁,2024款,钟爱 磷酸铁锂 29.23kWh 321km,6.99,悦享包,LED大灯、LED迎宾流水大灯、LED日间行车灯、主驾大尺寸化妆镜带补光灯和无钥匙进入 ○选配1500元
吉利汽车,熊猫,2023款,120km 熊猫mini 亚运熊,2.99,舒适科技包,8英寸中控屏+倒车影像+手机无线互联+APP远程查询/控制+蓝牙钥匙+无感解锁/启动+电动空调 ○选配3000元
广汽丰田,广汽丰田bZ4X,2022款,长续航Elite,22.98,智能领航套装,"12.3英寸智能多媒体导航系统（带面容识别功能）,泊车辅助制动功能（静止物）,PVM全景监控系统 ○选配11000元"
smart,smart精灵#1,2024款,灵动豪华版,19.99,密友氛围套装,Beats品牌音响/13扬声器系统/64色双区氛围灯-高配 ○选配暂无价格
北京奔驰,奔驰EQA,2025款,EQA 260,32.2,舒适组件,Burmester环绕立体声音响系统、无钥匙进入舒适组件(KEYLESS-GO)、后备箱感应开启功能、无钥匙进入、星徽饰板 ○选配10400元
